,Country,Conf,New conf,Deaths,New deaths,Date
135,United States of America,1340098,18044,80695,1061,2020-05-04
136,Spain,228691,661,27104,184,2020-05-04
137,Italy,222104,888,31106,195,2020-05-04
138,Germany,172239,933,7723,89,2020-05-04
139,China,84464,6,4644,0,2020-05-04
140,United States of America,1322054,23767,79634,982,2020-05-03
141,Spain,228030,594,26920,176,2020-05-03
142,Italy,221216,1402,30911,172,2020-05-03
143,Germany,171306,798,7634,101,2020-05-03
144,China,84458,7,4644,0,2020-05-03
145,United States of America,1298287,26642,78652,1736,2020-05-12
146,Spain,227436,3046,26744,123,2020-05-12
147,Italy,219814,744,30739,179,2020-05-12
148,Germany,170508,933,7533,116,2020-05-12
149,China,84451,1,4644,1,2020-05-12
150,United States of America,1271645,25870,76916,1552,2020-05-11
151,Spain,224390,812,26621,143,2020-05-11
152,Italy,219070,802,30560,165,2020-05-11
153,Germany,169575,357,7417,22,2020-05-11
154,China,84450,20,4643,0,2020-05-11
155,United States of America,1245775,99,75364,,2020-05-10
156,Spain,223578,721,26478,227,2020-05-10
157,Italy,218268,1083,30395,194,2020-05-10
158,Germany,169218,667,7395,26,2020-05-10
159,China,84430,14,4643,0,2020-05-10
160,United States of America,1245874,30303,69889,,2020-05-09
161,Spain,222857,1410,26251,181,2020-05-09
162,Italy,217185,1327,30201,243,2020-05-09
163,Germany,168551,1251,7369,103,2020-05-09
164,China,84416,1,4643,0,2020-05-09
165,United States of America,1215571,22119,67146,,2020-05-08
166,Spain,221447,1122,26070,213,2020-05-08
167,Italy,215858,1401,29958,274,2020-05-08
168,Germany,167300,1209,7266,147,2020-05-08
169,China,84415,6,4643,0,2020-05-08
170,United States of America,1193452,22267,65197,,2020-05-07
171,Spain,220325,996,25857,244,2020-05-07
172,Italy,214457,1444,29684,369,2020-05-07
173,Germany,166091,1194,7119,123,2020-05-07
174,China,84409,3,4643,0,2020-05-07
175,United States of America,1171185,16200,62698,,2020-05-06
176,Spain,219329,1318,25613,185,2020-05-06
177,Italy,213013,1075,29315,236,2020-05-06
178,Germany,164897,1037,6996,165,2020-05-06
179,China,84406,2,4643,0,2020-05-06
180,United States of America,1154985,29266,61906,,2020-05-05
181,Spain,218011,545,25428,164,2020-05-05
182,Italy,211938,1221,29079,195,2020-05-05
183,Germany,163860,685,6831,139,2020-05-05
184,China,84404,4,4643,0,2020-05-05
185,United States of America,1125719,31839,60710,,2020-05-04
186,Spain,217466,884,25264,164,2020-05-04
187,Italy,210717,1389,28884,174,2020-05-04
188,Germany,163175,679,6692,43,2020-05-04
189,China,84400,7,4643,0,2020-05-04
190,United States of America,1093880,26753,62406,,2020-05-03
191,Spain,216582,1366,25100,276,2020-05-03
192,Italy,209328,1900,28710,474,2020-05-03
193,Germany,162496,793,6649,74,2020-05-03
194,China,84393,5,4643,0,2020-05-03
195,United States of America,1067127,31774,57406,,2020-05-02
196,Spain,215216,1781,24824,281,2020-05-02
197,Italy,207428,1965,28236,269,2020-05-02
198,Germany,161703,2584,6575,287,2020-05-02
199,China,84388,3,4643,0,2020-05-02
200,United States of America,1035353,31379,55337,,2020-05-01
201,Spain,213435,518,24543,268,2020-05-01
202,Italy,205463,1872,27967,285,2020-05-01
203,Germany,159119,0,6288,0,2020-05-01
204,China,84385,12,4643,0,2020-05-01
205,China,84373,4,4643,0,2020-04-30
206,Spain,212917,2144,24275,453,2020-04-30
207,Italy,203591,2086,27682,323,2020-04-30
208,Germany,159119,1478,6288,173,2020-04-30
209,China,84369,22,4643,0,2020-04-29
210,Spain,210773,1308,23822,632,2020-04-29
211,Italy,201505,2091,27359,382,2020-04-29
212,Germany,157641,1304,6115,202,2020-04-29
213,China,84369,22,4643,0,2020-04-29
214,Spain,210773,1308,23822,632,2020-04-29
215,Italy,201505,2091,27359,382,2020-04-29
216,Germany,157641,1304,6115,202,2020-04-29
217,China,84341,3,4643,1,2020-04-27
218,Spain,207634,0,23190,666,2020-04-27
219,Italy,197675,2324,26644,260,2020-04-27
220,Germany,155193,1018,5750,110,2020-04-27
221,China,84338,14,4642,0,2020-04-26
222,Spain,219764,0,22524,0,2020-04-26
223,Italy,195351,2357,26384,415,2020-04-26
224,Germany,154175,1737,5640,140,2020-04-26
225,China,84324,13,4642,0,2020-04-25
226,Spain,219764,6740,22524,367,2020-04-25
227,Italy,192994,3021,25969,420,2020-04-25
228,Germany,152438,2055,5500,179,2020-04-25
229,China,84311,9,4642,0,2020-04-24
230,Spain,213024,4635,22157,440,2020-04-24
231,Italy,189973,2646,25549,464,2020-04-24
232,Germany,150383,2337,5321,227,2020-04-24
